secondary_study_accession	Sample IDs	run_accession	Date Isolated	scientific_name	experiment_title	study_title	Host Species	Host Variety	Tissue	Age	Stress-disease	Manuscript	High level variety	High level tissue	High level age	High level stress-disease	location	country	Infection Percentage	Fungicide Treatment	left	right	Collector	Mean_Coverage	Selected
Adams et al., in press	15.0122	15_0122	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Nauhton	UK	6	Unknown	raw_reads/15_0122/R1.fq.gz	raw_reads/15_0122/R2.fq.gz	Javier Pericas	275.58887179130227	Yes
Adams et al., in press	15.0125	15_0125	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Solstice	Infected Leaf	Unknown	Yellow Rust	Unpublished	Solstice	Infected Leaf	Unknown	Yellow Rust	Layer de la Haye	UK	20	Unknown	raw_reads/15_0125/R1.fq.gz	raw_reads/15_0125/R2.fq.gz	Javier Pericas	232.34542970226113	Yes
Adams et al., in press	15.0126	15_0126	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Kielder	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Kielder	Infected Leaf	Unknown	Yellow Rust	Hemingstone	UK	15	Unknown	raw_reads/15_0126/R1.fq.gz	raw_reads/15_0126/R2.fq.gz	Javier Pericas	23.035542975106157	Yes
Adams et al., in press	15.0127	15_0127	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Rougham (Suffolk)	UK	7	Unknown	raw_reads/15_0127/R1.fq.gz	raw_reads/15_0127/R2.fq.gz	Javier Pericas	13.193791707982781	No
Adams et al., in press	15.0129	15_0129	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Gallant	Infected Leaf	Unknown	Yellow Rust	Unpublished	Gallant	Infected Leaf	Unknown	Yellow Rust	Tuddenham	UK	7	Unknown	raw_reads/15_0129/R1.fq.gz	raw_reads/15_0129/R2.fq.gz	Javier Pericas	32.513932845883915	Yes
Adams et al., in press	15.0132	15_0132	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Mignault	Belgium	25	Unknown	raw_reads/15_0132/R1.fq.gz	raw_reads/15_0132/R2.fq.gz	Yves Decroos	196.3098199449569	Yes
Adams et al., in press	15.0136	15_0136	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Expert	Infected Leaf	Unknown	Yellow Rust	Unpublished	Expert	Infected Leaf	Unknown	Yellow Rust	Doel	Belgium	25	Unknown	raw_reads/15_0136/R1.fq.gz	raw_reads/15_0136/R2.fq.gz	Yves Decroos	160.86251236924397	Yes
Adams et al., in press	15.0137	15_0137	2015/05/11	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Welsch Billig	Germany	45	Unknown	raw_reads/15_0137/R1.fq.gz	raw_reads/15_0137/R2.fq.gz	Florian Traust	41.8538792808645	Yes
Adams et al., in press	15.0138	15_0138	2015/05/11	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Moselsürsch	Germany	50	Unknown	raw_reads/15_0138/R1.fq.gz	raw_reads/15_0138/R2.fq.gz	Florian Traust	25.13372576193502	No
Adams et al., in press	15.0143	15_0143	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Winnetou	Infected Leaf	Unknown	Yellow Rust	Unpublished	Winnetou	Infected Leaf	Unknown	Yellow Rust	Lippetal	Germany	8	Unknown	raw_reads/15_0143/R1.fq.gz	raw_reads/15_0143/R2.fq.gz	Ralf Plessow	230.23169240594075	Yes
Adams et al., in press	15.0144	15_0144	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Rumor	Infected Leaf	Unknown	Yellow Rust	Unpublished	Rumor	Infected Leaf	Unknown	Yellow Rust	Lippetal	Germany	3	Unknown	raw_reads/15_0144/R1.fq.gz	raw_reads/15_0144/R2.fq.gz	Ralf Plessow	163.106218822774	Yes
Adams et al., in press	15.0145	15_0145	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Lippetal	Germany	18	Unknown	raw_reads/15_0145/R1.fq.gz	raw_reads/15_0145/R2.fq.gz	Ralf Plessow	38.04661509867095	Yes
Adams et al., in press	15.0146	15_0146	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Lippetal	Germany	60	Unknown	raw_reads/15_0146/R1.fq.gz	raw_reads/15_0146/R2.fq.gz	Ralf Plessow	68.83732026739145	Yes
Adams et al., in press	15.0148	15_0148	2015/05/11	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Akteur	Infected Leaf	Unknown	Yellow Rust	Oberboihingen	Germany	2-5	Unknown	raw_reads/15_0148/R1.fq.gz	raw_reads/15_0148/R2.fq.gz	Rainer Koch	263.5611932331471	Yes
Adams et al., in press	15.0149	15_0149	2015/05/05	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Buchbach	Germany	10-20	Unknown	raw_reads/15_0149/R1.fq.gz	raw_reads/15_0149/R2.fq.gz	Lutz Martin	258.73116661723134	Yes
Adams et al., in press	15.0150	15_0150	2015/05/11	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Bühren	Germany	Strong	Unknown	raw_reads/15_0150/R1.fq.gz	raw_reads/15_0150/R2.fq.gz	Michael Sauder	206.77490020409044	Yes
Adams et al., in press	15.0152	15_0152	2015/05/11	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Erlangen	Germany	20-25	Unknown	raw_reads/15_0152/R1.fq.gz	raw_reads/15_0152/R2.fq.gz	Heiko Bauer	208.21370683084953	Yes
Adams et al., in press	15.0153	15_0153	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Lebrija	Spain	40	Unknown	raw_reads/15_0153/R1.fq.gz	raw_reads/15_0153/R2.fq.gz	Jose A. Torres	84.57899772060092	Yes
Adams et al., in press	15.0154	15_0154	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Califa Sur	Infected Leaf	Unknown	Yellow Rust	Lebrija	Spain	> 70	Unknown	raw_reads/15_0154/R1.fq.gz	raw_reads/15_0154/R2.fq.gz	Jose A. Torres	98.23071968638534	Yes
Adams et al., in press	15.0171	15_0171	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Kelvin	Infected Leaf	Unknown	Yellow Rust	Unpublished	Kelvin	Infected Leaf	Unknown	Yellow Rust	Oostburg	The Netherlands	Unknown	Unknown	raw_reads/15_0171/R1.fq.gz	raw_reads/15_0171/R2.fq.gz	Guus Bergmans	337.90299863725403	Yes
Adams et al., in press	15.0203	15_0203	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	GK Elet	Infected Leaf	Unknown	Yellow Rust	Unpublished	GK Elet	Infected Leaf	Unknown	Yellow Rust	Győr	Hungary	80	Unknown	raw_reads/15_0203/R1.fq.gz	raw_reads/15_0203/R2.fq.gz	Adamszul Tamas	203.9323664582416	Yes
Adams et al., in press	15.0204	15_0204	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Mv Tallér	Infected Leaf	Unknown	Yellow Rust	Unpublished	Mv Tallér	Infected Leaf	Unknown	Yellow Rust	Szekszárd	Hungary	70	Unknown	raw_reads/15_0204/R1.fq.gz	raw_reads/15_0204/R2.fq.gz	Adamszul Tamas	261.9204561676043	Yes
Adams et al., in press	15.0205	15_0205	2015/05/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Luglon	France	10	Unknown	raw_reads/15_0205/R1.fq.gz	raw_reads/15_0205/R2.fq.gz	Patrick Pigeon	80.8529866692481	Yes
Adams et al., in press	15.0206	15_0206	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Unknown	Infected Leaf	Unknown	Yellow Rust	Unpublished	Unknown	Infected Leaf	Unknown	Yellow Rust	Lyuben	Bulgaria	90	Unknown	raw_reads/15_0206/R1.fq.gz	raw_reads/15_0206/R2.fq.gz	Todor Manslov	158.83958753569684	Yes
Adams et al., in press	15.0207	15_0207	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Sadovo 772	Infected Leaf	Unknown	Yellow Rust	Unpublished	Sadovo 772	Infected Leaf	Unknown	Yellow Rust	Lyuben	Bulgaria	90	Unknown	raw_reads/15_0207/R1.fq.gz	raw_reads/15_0207/R2.fq.gz	Todor Manslov	223.16309223531087	Yes
Adams et al., in press	15.0219	15_0219	2015/05/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Touffreville-sur-Eu	France	27	Unknown	raw_reads/15_0219/R1.fq.gz	raw_reads/15_0219/R2.fq.gz	Thomas Martel	233.68097224145384	Yes
Adams et al., in press	15.0220	15_0220	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Quellendorf	Germany	15	Unknown	raw_reads/15_0220/R1.fq.gz	raw_reads/15_0220/R2.fq.gz	Andreas Heckmann	165.63199621508204	Yes
Adams et al., in press	15.0221	15_0221	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Quellendorf	Germany	30	Unknown	raw_reads/15_0221/R1.fq.gz	raw_reads/15_0221/R2.fq.gz	Andreas Heckmann	179.7975514555931	Yes
Adams et al., in press	15.0222	15_0222	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Matea	Infected Leaf	Unknown	Yellow Rust	Unpublished	Matea	Infected Leaf	Unknown	Yellow Rust	Gotalovo	Croatia	90	Unknown	raw_reads/15_0222/R1.fq.gz	raw_reads/15_0222/R2.fq.gz	Nikola Ettinger	145.28857547937204	Yes
Adams et al., in press	15.0224	15_0224	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Allouange	France	20	Unknown	raw_reads/15_0224/R1.fq.gz	raw_reads/15_0224/R2.fq.gz	Celi Baravie	196.86621374904914	Yes
Adams et al., in press	15.0225	15_0225	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Mœuvres	France	20-40	Unknown	raw_reads/15_0225/R1.fq.gz	raw_reads/15_0225/R2.fq.gz	BASF France	197.1341328126776	Yes
Adams et al., in press	15.0226	15_0226	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	La Capelle	France	20-40	Unknown	raw_reads/15_0226/R1.fq.gz	raw_reads/15_0226/R2.fq.gz	BASF France	145.1681587215292	Yes
Adams et al., in press	15.0234	15_0234	2015/06/01	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Loft	Infected Leaf	Unknown	Yellow Rust	Bothkamp	Germany	15	Unknown	raw_reads/15_0234/R1.fq.gz	raw_reads/15_0234/R2.fq.gz	S. Först	78.81308303479162	Yes
Adams et al., in press	15.0235	15_0235	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Alixan	Infected Leaf	Unknown	Yellow Rust	Unpublished	Alixan	Infected Leaf	Unknown	Yellow Rust	Grézillé	France	80	Unknown	raw_reads/15_0235/R1.fq.gz	raw_reads/15_0235/R2.fq.gz	F. Girardeau	49.35756718691369	Yes
Adams et al., in press	15.0236	15_0236	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Golia	Infected Leaf	Unknown	Yellow Rust	Unpublished	Golia	Infected Leaf	Unknown	Yellow Rust	Murath	Turkey	30	Unknown	raw_reads/15_0236/R1.fq.gz	raw_reads/15_0236/R2.fq.gz	Hüseyin Büyük	200.8550691557482	Yes
Adams et al., in press	15.0237	15_0237	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Golia	Infected Leaf	Unknown	Yellow Rust	Unpublished	Golia	Infected Leaf	Unknown	Yellow Rust	Babaeski	Turkey	30	Unknown	raw_reads/15_0237/R1.fq.gz	raw_reads/15_0237/R2.fq.gz	Hüseyin Büyük	66.96062689011653	Yes
Adams et al., in press	15.0239	15_0239	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Écouis	France	40	Unknown	raw_reads/15_0239/R1.fq.gz	raw_reads/15_0239/R2.fq.gz	Thomas Martel	219.89601227478164	Yes
Adams et al., in press	15.0248	15_0248	2015/06/02	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Saint-Germain-en-Laye	France	40	Unknown	raw_reads/15_0248/R1.fq.gz	raw_reads/15_0248/R2.fq.gz	Thomas Martel	265.11080311463695	Yes
Adams et al., in press	15.0249	15_0249	2015/05/27	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Bourgogne	France	10	Unknown	raw_reads/15_0249/R1.fq.gz	raw_reads/15_0249/R2.fq.gz	Alexandra Fricotteau	204.50520231138162	Yes
Adams et al., in press	15.0250	15_0250	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Trapez	Infected Leaf	Unknown	Yellow Rust	Unpublished	Trapez	Infected Leaf	Unknown	Yellow Rust	Pontfaverger	France	< 20	Unknown	raw_reads/15_0250/R1.fq.gz	raw_reads/15_0250/R2.fq.gz	Philippe Briard	57.81830906601568	Yes
Adams et al., in press	15.0251	15_0251	2015/05/25	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Brokat	Infected Leaf	Unknown	Yellow Rust	Unpublished	Brokat	Infected Leaf	Unknown	Yellow Rust	Rokytnice	Czechia	30	Unknown	raw_reads/15_0251/R1.fq.gz	raw_reads/15_0251/R2.fq.gz	Vaclav Sklenar	258.4373397658472	Yes
Adams et al., in press	15.0252	15_0252	2015/05/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Brokat	Infected Leaf	Unknown	Yellow Rust	Unpublished	Brokat	Infected Leaf	Unknown	Yellow Rust	Kněževes	Czechia	10	Unknown	raw_reads/15_0252/R1.fq.gz	raw_reads/15_0252/R2.fq.gz	Daniel Nerad	100.07398256708808	Yes
Adams et al., in press	15.0253	15_0253	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	2-3	Unknown	raw_reads/15_0253/R1.fq.gz	raw_reads/15_0253/R2.fq.gz	Joachim Dieter Fannasch	84.08724604430795	Yes
Adams et al., in press	15.0254	15_0254	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Matrix	Infected Leaf	Unknown	Yellow Rust	Unpublished	Matrix	Infected Leaf	Unknown	Yellow Rust	Hingste	Germany	5-10	Unknown	raw_reads/15_0254/R1.fq.gz	raw_reads/15_0254/R2.fq.gz	Joachim Dieter Fannasch	175.36277746607027	Yes
Adams et al., in press	15.0255	15_0255	2015/05/18	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Seelze	Germany	30	Unknown	raw_reads/15_0255/R1.fq.gz	raw_reads/15_0255/R2.fq.gz	Alexander Laustrodsv	254.84332567540443	Yes
Adams et al., in press	15.0256	15_0256	2015/05/19	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Primus	Infected Leaf	Unknown	Yellow Rust	Unpublished	Primus	Infected Leaf	Unknown	Yellow Rust	Gommershoven	Germany	45	Unknown	raw_reads/15_0256/R1.fq.gz	raw_reads/15_0256/R2.fq.gz	Lena Agelhen	150.50737021231197	Yes
Adams et al., in press	15.0257	15_0257	2015/05/19	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	JB Asano	Infected Leaf	Unknown	Yellow Rust	Unpublished	JB Asano	Infected Leaf	Unknown	Yellow Rust	Walkendorf	Germany	5	Unknown	raw_reads/15_0257/R1.fq.gz	raw_reads/15_0257/R2.fq.gz	Christoph Palkenat	114.44496898341775	Yes
Adams et al., in press	15.0271	15_0271	2015/05/26	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cordiale	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cordiale	Infected Leaf	Unknown	Yellow Rust	Caythorpe	UK	5-10	Unknown	raw_reads/15_0271/R1.fq.gz	raw_reads/15_0271/R2.fq.gz	Menke Hopma	167.49196751976646	Yes
Adams et al., in press	15.0410	15_0410	2015/06/16	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Arkadia	Infected Leaf	Unknown	Yellow Rust	Unpublished	Arkadia	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	5	Unknown	raw_reads/15_0410/R1.fq.gz	raw_reads/15_0410/R2.fq.gz	Szymon Łączny	164.64200239164037	Yes
Adams et al., in press	15.0411	15_0411	2015/06/15	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Wydma	Infected Leaf	Unknown	Yellow Rust	Unpublished	Wydma	Infected Leaf	Unknown	Yellow Rust	Jarosławiec	Poland	8	Unknown	raw_reads/15_0411/R1.fq.gz	raw_reads/15_0411/R2.fq.gz	Szymon Łączny	26.306124988483564	Yes
Adams et al., in press	15.0419	15_0419	2015/06/15	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Akteur	Infected Leaf	Unknown	Yellow Rust	Unpublished	Akteur	Infected Leaf	Unknown	Yellow Rust	Groitzsch	Germany	3-5	Unknown	raw_reads/15_0419/R1.fq.gz	raw_reads/15_0419/R2.fq.gz	Thomas Meter	81.31594275156299	Yes
Adams et al., in press	16.0111	16_0111	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Mersea	UK	Unknown	Unknown	raw_reads/16_0111/R1.fq.gz	raw_reads/16_0111/R2.fq.gz	John Williams	134.13022459548122	Yes
Adams et al., in press	16.0113	16_0113	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Reflection	Infected Leaf	Unknown	Yellow Rust	Unpublished	Reflection	Infected Leaf	Unknown	Yellow Rust	Rougham (Suffolk)	UK	Unknown	Unknown	raw_reads/16_0113/R1.fq.gz	raw_reads/16_0113/R2.fq.gz	John Williams	253.22830371754284	Yes
Adams et al., in press	16.0114	16_0114	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Cordiale	Infected Leaf	Unknown	Yellow Rust	Unpublished	Cordiale	Infected Leaf	Unknown	Yellow Rust	Hundon	UK	Unknown	Unknown	raw_reads/16_0114/R1.fq.gz	raw_reads/16_0114/R2.fq.gz	John Williams	299.89548461019484	Yes
Adams et al., in press	16.0115	16_0115	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Unpublished	KWS Santiago	Infected Leaf	Unknown	Yellow Rust	Lindsey	UK	Unknown	Unknown	raw_reads/16_0115/R1.fq.gz	raw_reads/16_0115/R2.fq.gz	John Williams	351.4832845991703	Yes
Adams et al., in press	16.0116	16_0116	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Reflection	Infected Leaf	Unknown	Yellow Rust	Unpublished	Reflection	Infected Leaf	Unknown	Yellow Rust	Ixworth	UK	Unknown	Unknown	raw_reads/16_0116/R1.fq.gz	raw_reads/16_0116/R2.fq.gz	John Williams	233.280105881882	Yes
Adams et al., in press	16.0118	16_0118	2016/03/22	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Gallant	Infected Leaf	Unknown	Yellow Rust	Unpublished	Gallant	Infected Leaf	Unknown	Yellow Rust	Gipping	UK	Unknown	Unknown	raw_reads/16_0118/R1.fq.gz	raw_reads/16_0118/R2.fq.gz	John Williams	486.213109789205	Yes
Adams et al., in press	16.0119	16_0119	2016/03/21	Puccinia Striiformis f. sp. Tritici	Adams et al., in press	Adams et al., in press	Triticum aestivum	Reflection	Infected Leaf	Unknown	Yellow Rust	Unpublished	Reflection	Infected Leaf	Unknown	Yellow Rust	Stonham Aspal	UK	Unknown	Unknown	raw_reads/16_0119/R1.fq.gz	raw_reads/16_0119/R2.fq.gz	John Williams	332.29287215985886	Yes
